,Transaction ID,Customer ID,Category,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Item,Item_name,Year,Month
0,TXN_6867343,CUST_09,Patisserie,18.5,10.0,185.0,Digital Wallet,Online,2024-04-08,1,Item_10_PAT,Cinnamon Roll,2024,April
1,TXN_3731986,CUST_22,Milk Products,29.0,9.0,261.0,Digital Wallet,Online,2023-07-23,1,Item_17_MILK,Dairy Creamer,2023,July
2,TXN_9303719,CUST_02,Butchers,21.5,2.0,43.0,Credit Card,Online,2022-10-05,0,Item_12_BUT,Meatballs,2022,October
3,TXN_9458126,CUST_06,Beverages,27.5,9.0,247.5,Credit Card,Online,2022-05-07,1,Item_16_BEV,Herbal Tea,2022,May
4,TXN_4575373,CUST_05,Food,12.5,7.0,87.5,Digital Wallet,Online,2022-10-02,0,Item_6_FOOD,Salt,2022,October
5,TXN_7482416,CUST_09,Patisserie,20.0,10.0,200.0,Credit Card,Online,2023-11-30,1,Item_11_PAT,Cheesecake Slice,2023,November
6,TXN_3652209,CUST_07,Food,5.0,8.0,40.0,Credit Card,In-store,2023-06-10,1,Item_1_FOOD,Rice,2023,June
7,TXN_1372952,CUST_21,Furniture,33.5,5.0,167.5,Digital Wallet,In-store,2024-04-02,1,Item_20_FUR,Bean Bag,2024,April
8,TXN_9728486,CUST_23,Furniture,27.5,1.0,27.5,Credit Card,In-store,2023-04-26,0,Item_16_FUR,Shoe Rack,2023,April
9,TXN_2722661,CUST_25,Butchers,36.5,3.0,109.5,Cash,Online,2024-03-14,0,Item_22_BUT,Minced Pork,2024,March
10,TXN_8776416,CUST_22,Butchers,8.0,9.0,72.0,Cash,In-store,2024-12-14,1,Item_3_BUT,Whole Chicken,2024,December
11,TXN_5422631,CUST_09,Milk Products,6.5,8.0,52.0,Digital Wallet,In-store,2025-01-12,1,Item_2_MILK,Skimmed Milk,2025,January
12,TXN_5874772,CUST_23,Food,6.5,7.0,45.5,Cash,Online,2023-09-09,1,Item_2_FOOD,Wheat Flour,2023,September
13,TXN_4413070,CUST_14,Patisserie,39.5,6.0,237.0,Digital Wallet,In-store,2022-05-20,0,Item_24_PAT,Premium Donut,2022,May
14,TXN_2490363,CUST_09,Milk Products,27.5,2.0,55.0,Digital Wallet,Online,2022-05-22,1,Item_16_MILK,Lactose-Free Milk,2022,May
