"Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Quantity / Unit","Currency","Fairtrade minimum price","Fairtrade premium","Date of validity","Specific Product Standard","Product Specific Information"
"Acai","Conventional","for drying","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Conventional","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Conventional","","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Organic","for drying","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Organic","for processing","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Organic","","Worldwide","SPO / HL","EXW","1 kg","USD","Commercial price","15% of the commercial price","14/10/2022","Fresh Fruit",""
"Acai","Conventional","pulp","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","08/08/2013","Prepared and Preserved Fruit & Vegetables",""
"Acai","Organic","pulp","Worldwide","SPO / HL","EXW"," ","","Commercial price","15% of the commercial price","08/08/2013","Prepared and Preserved Fruit & Vegetables",""
"Almond","Conventional","in shell","Pakistan","CP","EXW","1 kg","GBP","0.28","0.05","15/11/2007","Nuts","excluding transport to processing plant"
"Almond","Conventional","shelled","Worldwide","SPO","EXW","1 kg","USD","Commercial price","0.95","19/09/2011","Nuts",""
"Almond","Organic","shelled","Worldwide","SPO","EXW","1 kg","USD","Commercial price","0.95","19/09/2011","Nuts",""
"Amaranth","Conventional","grain","India","CP","EXW"," ","","Commercial price","15% of the commercial price","01/12/2016","Cereals","grown in rotation with rice or cotton; "
"Amaranth","Conventional","grain","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","01/12/2016","Cereals",""
"Amaranth","Organic","grain","India","CP","EXW"," ","","Commercial price","15% of the commercial price","01/12/2016","Cereals","grown in rotation with rice or cotton; "
"Amaranth","Organic","grain","Worldwide","SPO","EXW"," ","","Commercial price","15% of the commercial price","01/12/2016","Cereals",""
"Apple","Conventional","for drying","Eastern; Central and Western Asia","SPO","EXW","1 MT","USD","60","10","21/11/2011","Fresh Fruit",""
"Apple","Conventional","for drying","Pakistan","CP","EXW","1 kg","GBP","0.11","0.02","15/11/2007","Fresh Fruit","excluding transport to processing plant"
"Apple","Conventional","for drying","South Africa","SPO / HL","EXW","1 MT","USD","60","10","21/11/2011","Fresh Fruit",""
"Apple","Conventional","for drying","South America","SPO","EXW","1 kg","USD","0.06","0.01","10/02/2010","Fresh Fruit",""
"Apple","Conventional","for processing","Eastern; Central and Western Asia and South Africa","SPO / HL","EXW","1 MT","USD","60","10","21/11/2011","Fresh Fruit",""
"Apple","Conventional","for processing","South America","SPO / HL","EXW","1 kg","USD","0.06","0.01","28/09/2009","Fresh Fruit",""
"Apple","Conventional","","South Africa","SPO / HL","FOB","1 kg","ZAR","4.67","0.7","21/03/2005","Fresh Fruit","Bi-colour: Braeburn; "
"Apple","Conventional","","South Africa","SPO / HL","FOB","1 kg","ZAR","4.27","0.64","21/03/2005","Fresh Fruit","Bi-colour: Royal Gala & Sundowner; "
"Apple","Conventional","","South Africa","SPO / HL","FOB","1 kg","ZAR","3.79","0.56","21/03/2005","Fresh Fruit","Green; "
"Apple","Conventional","","South Africa","SPO / HL","FOB","1 kg","ZAR","5.23","0.78","21/03/2005","Fresh Fruit","Pink Lady; "
