respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
1,A Fairtrade,c - once in 2 weeks,2,1,4,3,5,0,c) 11-30 %,100,b) female,f) >20000,Russia,E
2,A Fairtrade,d - once in a month,4,2,5,1,3,0,d) 31 - 50 %,90,b) female,d) 10000-15000 CZK,CZ,W
3,B normal,c - once in 2 weeks,3,1,5,2,4,0,c) 11-30 %,50,b) female,b) < 5 000 CZK,CZ,W
4,B normal,d - once in a month,3,1,4,2,5,0,b) 1-10 %,45,a) male,b) < 5 000 CZK,CZ,W
5,A Fairtrade,d - once in a month,3,1,4,2,5,0,b) 1-10 %,50,a) male,a) no,CZ,W
6,B normal,b - once a week,0,0,1,0,0,0,c) 11-30 %,50,a) male,f) >20000,CZ,W
7,A Fairtrade,d - once in a month,0,1,0,0,0,0,b) 1-10 %,55,a) male,b) < 5 000 CZK,Slovakia,E
9,A Fairtrade,c - once in 2 weeks,1,3,4,2,5,0,c) 11-30 %,60,a) male,c) 5000-10000 CZK,CZ,W
10,A Fairtrade,e - less frequently,5,1,2,3,4,0,d) 31 - 50 %,90,b) female,a) no,Italy,W
11,A Fairtrade,b - once a week,3,1,5,2,4,0,d) 31 - 50 %,70,b) female,a) no,Italy,W
12,B normal,a - several times per week,0,1,1,0,0,0,d) 31 - 50 %,0,b) female,d) 10000-15000 CZK,Belarus,E
14,A Fairtrade,d - once in a month,1,1,0,0,0,0,d) 31 - 50 %,90,a) male,b) < 5 000 CZK,Slovakia,E
15,A Fairtrade,d - once in a month,2,1,4,3,5,0,d) 31 - 50 %,100,b) female,d) 10000-15000 CZK,CZ,W
16,B normal,c - once in 2 weeks,3,1,4,2,5,0,d) 31 - 50 %,70,a) male,b) < 5 000 CZK,Slovakia,E
17,B normal,d - once in a month,2,1,4,3,5,0,b) 1-10 %,50,a) male,f) >20000,Belarus,E
18,A Fairtrade,e - less frequently,5,1,4,2,3,0,c) 11-30 %,110,a) male,a) no,Russia,E
19,A Fairtrade,e - less frequently,4,1,3,2,5,0,b) 1-10 %,70,a) male,c) 5000-10000 CZK,CZ,W
20,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,80,a) male,c) 5000-10000 CZK,CZ,W
21,A Fairtrade,e - less frequently,2,1,3,4,5,0,c) 11-30 %,140,b) female,b) < 5 000 CZK,CZ,W
22,A Fairtrade,c - once in 2 weeks,4,2,1,3,5,0,c) 11-30 %,60,b) female,c) 5000-10000 CZK,CZ,W
23,A Fairtrade,c - once in 2 weeks,5,1,3,2,4,0,c) 11-30 %,100,b) female,a) no,Slovakia,E
24,B normal,c - once in 2 weeks,0,1,0,1,0,0,c) 11-30 %,60,b) female,a) no,Slovakia,E
25,A Fairtrade,e - less frequently,3,1,5,2,4,0,d) 31 - 50 %,100,b) female,c) 5000-10000 CZK,CZ,W
26,B normal,b - once a week,5,1,4,2,3,0,c) 11-30 %,60,a) male,f) >20000,CZ,W
27,A Fairtrade,d - once in a month,4,1,5,3,0,0,c) 11-30 %,70,b) female,d) 10000-15000 CZK,CZ,W
28,A Fairtrade,c - once in 2 weeks,3,1,2,1,1,3,b) 1-10 %,47.5,a) male,c) 5000-10000 CZK,CZ,W
29,A Fairtrade,e - less frequently,3,2,5,1,4,0,c) 11-30 %,60,b) female,a) no,CZ,W
30,A Fairtrade,e - less frequently,1,2,3,5,4,0,f) 81 - 100 %,100,b) female,a) no,CZ,W
31,A Fairtrade,b - once a week,4,1,5,2,3,0,c) 11-30 %,60,b) female,c) 5000-10000 CZK,CZ,W
32,A Fairtrade,e - less frequently,3,1,4,2,5,0,c) 11-30 %,80,b) female,c) 5000-10000 CZK,CZ,W
33,A Fairtrade,e - less frequently,1,1,0,0,0,0,e) 51 - 80 %,40,a) male,b) < 5 000 CZK,CZ,W
34,A Fairtrade,b - once a week,6,2,3,5,4,1 složení,c) 11-30 %,80,b) female,b) < 5 000 CZK,CZ,W
35,A Fairtrade,c - once in 2 weeks,5,7,5,5,4,0,0,60,b) female,b) < 5 000 CZK,CZ,W
36,A Fairtrade,e - less frequently,1,2,4,3,5,0,b) 1-10 %,60,b) female,d) 10000-15000 CZK,CZ,W
37,B normal,d - once in a month,0,1,0,1,0,0,d) 31 - 50 %,60,b) female,c) 5000-10000 CZK,CZ,W
38,B normal,b - once a week,4,1,5,2,3,0,c) 11-30 %,60,b) female,b) < 5 000 CZK,CZ,W
39,B normal,d - once in a month,2,1,4,3,5,0,b) 1-10 %,44,a) male,d) 10000-15000 CZK,CZ,W
40,A Fairtrade,a - several times per week,3,1,5,2,4,0,b) 1-10 %,100,b) female,f) >20000,CZ,W
41,B normal,b - once a week,4,1,3,2,5,0,b) 1-10 %,45,a) male,b) < 5 000 CZK,CZ,W
42,A Fairtrade,c - once in 2 weeks,0,1,0,1,1,0,c) 11-30 %,89,b) female,c) 5000-10000 CZK,CZ,W
43,B normal,b - once a week,4,1,3,2,5,0,c) 11-30 %,0,0,0,0,0
44,B normal,d - once in a month,2,3,5,1,4,0,b) 1-10 %,50,a) male,b) < 5 000 CZK,CZ,W
45,A Fairtrade,c - once in 2 weeks,1,2,5,3,4,0,c) 11-30 %,60,b) female,a) no,CZ,W
46,A Fairtrade,e - less frequently,2,1,4,3,5,0,b) 1-10 %,60,b) female,a) no,Slovakia,E
47,A Fairtrade,a - several times per week,3,1,4,2,5,0,c) 11-30 %,80,b) female,c) 5000-10000 CZK,CZ,W
48,A Fairtrade,e - less frequently,0,1,0,1,0,0,d) 31 - 50 %,70,b) female,e) 15000-20000,CZ,W
49,A Fairtrade,c - once in 2 weeks,3,1,4,2,5,0,c) 11-30 %,70,b) female,c) 5000-10000 CZK,CZ,W
50,A Fairtrade,e - less frequently,4,1,5,2,3,0,e) 51 - 80 %,65,a) male,a) no,Mexico,jiné
51,A Fairtrade,a - several times per week,5,1,4,2,3,0,c) 11-30 %,60,b) female,a) no,France,W
52,B normal,d - once in a month,3,1,5,2,4,0,c) 11-30 %,55,a) male,f) >20000,CZ,W
53,A Fairtrade,a - several times per week,0,1,0,1,0,0,d) 31 - 50 %,52.5,b) female,b) < 5 000 CZK,Mexico,jiné
54,A Fairtrade,b - once a week,2,1,4,3,5,0,c) 11-30 %,55,b) female,f) >20000,Ukraine,E
55,A Fairtrade,b - once a week,3,1,5,2,4,0,c) 11-30 %,77,b) female,f) >20000,CZ,W
56,A Fairtrade,e - less frequently,5,1,3,2,4,0,c) 11-30 %,95,b) female,c) 5000-10000 CZK,CZ,W
57,A Fairtrade,a - several times per week,3,2,4,1,5,0,c) 11-30 %,65,,b) < 5 000 CZK,Ukraine,E
58,B normal,c - once in 2 weeks,2,3,5,1,4,0,b) 1-10 %,0,a) male,a) no,Ukraine,E
59,A Fairtrade,e - less frequently,3,1,2,2,1,0,d) 31 - 50 %,20,b) female,c) 5000-10000 CZK,CZ,W
